Pos	Red	Green	Blue	
0	127	112	56	
1	130	118	62	
2	133	123	66	
3	134	123	65	
4	132	120	61	
5	126	116	56	
6	122	115	54	
7	120	109	53	
8	120	108	60	
9	124	112	66	
10	129	116	65	
11	128	117	66	
12	130	118	67	
13	133	122	69	
14	134	124	66	
15	135	125	65	
16	134	125	66	
17	130	120	60	
18	126	114	55	
19	127	114	55	
20	129	115	60	
21	132	116	63	
22	134	118	66	
23	133	117	66	
24	129	114	61	
25	128	115	59	
26	126	117	60	
27	126	117	58	
28	124	116	59	
29	121	112	54	
30	117	108	48	
31	115	107	47	
32	118	108	47	
33	123	108	51	
34	130	111	56	
35	131	112	60	
36	135	115	61	
37	136	120	66	
38	139	123	70	
39	138	124	70	
40	137	122	67	
41	135	118	60	
42	134	116	55	
43	138	120	59	
44	139	122	63	
45	138	122	65	
46	135	119	61	
47	129	114	55	
48	124	113	57	
49	122	110	52	
50	121	109	47	
51	123	111	47	
52	126	114	54	
53	127	116	61	
54	130	116	63	
55	132	119	68	
56	136	120	66	
57	139	123	66	
58	143	127	67	
59	142	127	68	
60	138	125	70	
61	136	121	67	
62	134	118	62	
63	135	117	60	
64	136	118	64	
65	136	121	67	
66	136	122	66	
67	138	123	65	
68	137	123	63	
69	134	117	60	
70	126	110	60	
71	124	109	58	
72	120	109	50	
73	120	110	51	
74	123	113	58	
75	126	114	62	
76	134	121	65	
77	137	126	68	
78	141	128	71	
79	141	128	71	
80	142	125	69	
81	144	126	71	
82	141	125	75	
83	135	122	70	
84	135	124	68	
85	136	125	67	
86	137	123	65	
87	140	126	68	
88	141	129	69	
89	140	127	69	
90	137	123	70	
91	135	122	70	
92	133	123	69	
93	130	119	66	
94	125	115	66	
95	122	113	64	
96	122	114	62	
97	126	117	63	
98	131	119	66	
99	136	123	70	
100	142	127	71	
101	144	128	71	
102	143	129	72	
103	140	127	70	
104	140	128	66	
105	141	127	67	
106	144	129	71	
107	147	132	76	
108	150	134	77	
109	151	134	78	
110	151	132	78	
111	148	133	76	
112	146	132	74	
113	145	131	72	
114	143	127	72	
115	143	123	73	
116	142	124	75	
117	140	124	76	
118	139	125	75	
119	139	125	75	
120	140	126	76	
121	139	127	74	
122	141	129	73	
123	142	126	67	
124	142	126	68	
125	141	127	71	
126	138	125	75	
127	136	124	74	
128	135	121	70	
129	136	122	67	
130	138	125	70	
