Pos	Red	Green	Blue	
0	58	64	41	
1	55	60	37	
2	57	60	39	
3	55	57	37	
4	54	54	36	
5	55	56	37	
6	58	58	37	
7	59	57	35	
8	60	58	35	
9	59	59	37	
10	57	60	40	
11	55	58	40	
12	52	57	39	
13	55	59	39	
14	54	57	36	
15	56	58	37	
16	55	57	37	
17	53	56	37	
18	51	55	35	
19	53	57	37	
20	51	57	37	
21	52	59	37	
22	54	60	37	
23	52	55	33	
24	52	53	34	
25	51	56	36	
26	57	63	38	
27	60	64	36	
28	60	62	32	
29	61	65	33	
30	64	67	33	
31	65	68	38	
32	69	72	45	
33	70	74	45	
34	75	79	42	
35	76	81	41	
36	76	80	39	
37	79	82	40	
38	76	83	38	
39	74	84	40	
40	73	84	44	
41	73	82	43	
42	75	84	43	
43	78	88	46	
44	77	87	46	
45	77	85	46	
46	75	84	44	
47	74	83	42	
48	76	86	43	
49	77	86	41	
50	75	83	39	
51	73	84	44	
52	71	82	46	
53	70	80	44	
54	73	84	42	
55	76	87	42	
56	76	85	40	
57	75	85	42	
58	76	86	46	
59	75	83	44	
60	77	83	42	
61	78	83	40	
62	80	84	42	
63	77	84	42	
64	77	85	42	
65	81	87	45	
66	79	85	41	
67	75	81	39	
68	76	84	43	
69	81	90	48	
70	78	89	44	
71	76	89	42	
72	76	91	45	
73	77	92	45	
74	76	91	42	
75	79	94	45	
76	77	91	43	
77	74	88	42	
78	77	89	48	
79	78	89	48	
80	80	89	47	
81	77	86	47	
82	74	83	51	
83	76	84	53	
84	74	82	45	
85	74	80	41	
86	76	81	46	
87	72	78	46	
88	72	78	47	
89	76	83	49	
90	75	83	45	
91	71	82	42	
92	75	85	47	
93	76	84	46	
94	76	82	45	
95	76	80	42	
96	73	79	39	
97	73	81	41	
98	73	83	43	
99	71	81	42	
100	73	84	44	
101	77	89	47	
102	75	86	43	
103	75	87	44	
104	75	89	45	
105	73	86	44	
106	72	81	42	
107	71	79	43	
108	72	81	46	
109	72	83	47	
110	72	85	46	
111	72	88	46	
112	75	89	49	
113	73	86	46	
114	74	83	45	
115	78	82	47	
116	77	81	48	
117	74	83	47	
118	74	87	44	
119	76	88	43	
120	74	84	41	
121	74	83	42	
122	76	85	46	
123	77	86	46	
124	75	85	43	
125	75	88	44	
126	76	89	46	
127	74	82	43	
128	72	77	44	
129	73	80	47	
130	75	83	45	
131	74	84	45	
132	75	86	47	
133	75	86	50	
134	74	82	49	
135	74	81	48	
136	77	84	52	
137	75	82	48	
138	72	80	43	
139	77	87	46	
140	77	88	48	
141	71	80	44	
142	72	79	48	
143	73	81	51	
144	73	80	49	
145	74	80	48	
146	73	81	46	
147	73	82	45	
148	74	84	46	
149	72	85	45	
150	72	84	46	
151	72	81	46	
152	72	80	47	
153	73	81	48	
154	77	86	50	
155	79	87	49	
156	80	87	49	
157	80	86	48	
158	77	84	44	
159	78	88	46	
160	77	87	47	
161	74	81	44	
162	76	82	49	
163	77	82	48	
164	75	82	45	
165	77	86	49	
166	77	86	52	
167	76	85	51	
168	78	87	50	
169	78	88	49	
170	77	88	50	
171	76	88	49	
172	76	86	47	
173	77	85	46	
174	79	87	47	
175	78	85	45	
176	74	81	42	
177	75	83	44	
178	75	85	48	
179	73	82	48	
180	72	79	47	
181	71	79	46	
182	73	82	49	
183	71	81	46	
184	71	80	47	
185	73	83	50	
186	71	80	46	
187	69	77	44	
188	69	79	49	
189	67	78	46	
190	65	76	39	
191	68	78	40	
192	67	79	41	
193	68	83	46	
194	70	84	50	
195	67	79	47	
196	67	77	48	
197	68	76	48	
198	67	77	49	
199	65	78	50	
200	65	77	47	
201	66	73	39	
202	65	72	36	
203	66	75	40	
204	64	74	45	
205	66	76	48	
206	68	79	47	
207	67	79	45	
208	65	75	43	
209	66	74	41	
210	67	77	45	
211	61	72	42	
212	53	65	39	
213	48	58	39	
214	39	50	38	
215	38	46	38	
216	35	42	36	
217	38	42	38	
218	39	44	39	
219	41	46	41	
220	42	47	43	
221	39	43	40	
222	39	43	40	
223	41	45	40	
224	43	46	39	
225	42	46	41	
226	39	44	41	
227	40	46	42	
228	38	46	40	
229	38	47	43	
230	38	46	44	
231	36	42	41	
232	41	47	41	
233	41	47	39	
234	38	43	36	
235	41	43	37	
236	43	46	43	
237	39	43	43	
238	37	43	44	
239	36	45	45	
240	33	43	41	
241	31	40	42	
242	35	43	50	
243	40	46	53	
244	36	40	42	
245	35	39	38	
246	36	40	41	
247	35	39	40	
248	36	39	39	
249	34	38	37	
250	37	42	42	
251	33	39	40	
252	32	41	41	
253	36	48	45	
254	33	46	39	
255	33	46	38	
256	35	46	38	
257	33	40	35	
258	37	41	38	
259	41	48	43	
260	42	50	42	
261	43	54	44	
262	46	54	45	
263	48	54	43	
264	50	58	45	
265	49	62	48	
266	47	63	47	
267	48	63	47	
268	50	66	49	
269	49	63	47	
270	48	61	47	
271	48	58	46	
272	44	54	43	
273	41	51	42	
274	39	49	45	
275	41	51	45	
276	41	49	42	
277	37	44	41	
278	38	45	44	
279	40	47	45	
280	41	50	44	
281	38	46	44	
282	32	39	45	
283	36	42	48	
284	37	42	43	
285	37	42	39	
286	38	46	45	
287	36	49	45	
288	36	52	43	
289	38	53	45	
290	38	51	45	
291	41	52	47	
292	40	49	43	
293	36	44	39	
294	36	43	41	
295	37	45	44	
296	39	47	45	
297	38	44	43	
298	37	40	40	
299	38	43	42	
300	42	47	46	
301	49	58	53	
302	54	62	53	
303	56	65	53	
304	60	72	56	
305	60	70	55	
306	56	67	53	
307	52	62	50	
308	53	65	53	
309	53	64	53	
310	49	60	53	
311	47	58	54	
312	42	51	48	
313	42	52	46	
314	44	53	41	
315	50	63	45	
316	57	71	53	
317	58	73	54	
318	59	75	56	
319	56	73	57	
320	50	66	55	
321	43	56	51	
322	40	51	49	
323	37	45	47	
324	36	43	48	
325	36	46	48	
326	33	43	42	
327	37	45	40	
328	39	47	43	
329	38	47	45	
330	38	47	48	
331	34	43	46	
332	35	41	45	
333	41	47	47	
334	42	48	44	
335	40	47	41	
336	38	49	41	
337	36	49	42	
338	37	49	46	
339	39	48	45	
340	44	50	43	
341	46	54	45	
342	47	54	45	
343	51	58	47	
344	53	61	47	
345	51	62	47	
346	51	63	49	
347	51	62	49	
348	55	65	49	
349	60	70	52	
350	62	75	55	
351	55	68	50	
352	50	64	49	
353	49	61	51	
354	43	54	47	
355	43	52	47	
356	44	52	47	
357	45	52	47	
358	42	49	47	
359	41	48	48	
360	39	48	49	
361	37	50	51	
362	37	49	50	
363	41	50	49	
364	47	55	51	
365	45	54	48	
366	45	55	48	
367	42	53	48	
368	35	47	45	
369	37	49	49	
370	38	50	47	
371	42	51	49	
372	44	50	51	
373	39	46	50	
374	38	45	51	
375	42	49	52	
376	41	49	47	
377	36	44	44	
378	36	45	49	
379	34	46	50	
380	34	46	49	
381	37	47	45	
382	38	48	46	
383	37	48	45	
384	39	51	47	
385	41	52	50	
386	42	50	51	
387	43	51	53	
388	45	52	53	
389	45	55	53	
390	47	57	54	
391	46	56	51	
392	45	53	46	
393	42	47	44	
394	38	45	46	
395	37	43	46	
396	36	44	46	
397	37	49	48	
398	39	50	47	
399	37	47	43	
400	40	47	45	
401	40	46	46	
402	36	42	43	
403	40	47	46	
404	39	46	44	
405	39	48	45	
406	47	55	51	
407	47	57	50	
408	56	63	50	
409	60	67	52	
410	61	68	52	
411	64	73	56	
412	63	74	55	
413	63	72	55	
414	61	70	56	
415	58	68	56	
416	58	69	56	
417	54	66	56	
418	52	61	54	
419	53	60	53	
420	50	60	50	
421	49	62	50	
422	44	59	47	
423	42	57	46	
424	46	59	47	
425	52	61	49	
426	54	62	51	
427	53	64	51	
428	54	70	53	
429	52	71	52	
430	49	69	50	
431	51	68	50	
432	51	65	49	
433	52	64	52	
434	52	64	54	
435	51	63	53	
436	51	65	52	
437	49	63	49	
438	52	63	49	
439	56	64	51	
440	61	71	56	
441	60	74	58	
442	55	70	57	
443	47	62	51	
444	43	57	49	
445	44	56	48	
446	40	52	46	
447	38	49	45	
448	36	48	44	
449	39	51	50	
450	40	51	56	
451	40	52	58	
452	42	54	57	
453	43	54	54	
454	45	55	52	
455	44	54	49	
456	42	52	50	
457	42	52	49	
458	39	50	45	
459	40	50	46	
460	39	50	49	
461	37	48	49	
462	35	46	48	
463	35	47	48	
464	38	51	51	
465	40	52	51	
466	40	51	47	
467	39	52	48	
468	41	54	49	
469	40	53	47	
470	40	52	45	
471	43	54	46	
472	38	50	44	
473	35	46	43	
474	37	46	44	
475	41	50	48	
476	43	52	49	
477	41	49	46	
478	43	51	45	
479	44	54	48	
480	46	55	53	
481	40	50	48	
482	41	49	43	
483	44	52	44	
484	44	53	44	
485	47	55	49	
486	47	57	52	
487	45	56	51	
488	44	51	47	
489	44	47	46	
490	48	52	51	
491	48	55	52	
492	42	52	49	
493	37	47	46	
494	36	45	49	
495	39	45	51	
496	40	47	51	
497	39	46	50	
498	36	42	46	
499	36	42	48	
500	38	46	53	
501	39	49	56	
502	37	46	54	
503	40	46	52	
504	43	47	47	
505	42	50	46	
506	45	54	52	
507	45	53	52	
508	47	52	49	
509	54	60	52	
510	60	66	55	
511	59	69	54	
512	61	72	55	
513	63	74	58	
514	55	66	55	
515	46	54	48	
516	45	54	50	
517	50	56	51	
518	49	60	55	
519	46	61	58	
520	43	61	59	
521	45	60	56	
522	41	54	46	
523	39	52	45	
524	44	59	55	
525	45	60	57	
526	45	58	51	
527	45	60	51	
528	51	62	56	
529	57	69	58	
530	63	73	56	
531	65	78	55	
532	73	85	58	
533	76	89	60	
534	81	90	60	
535	81	88	60	
536	78	88	61	
537	77	88	63	
538	68	83	61	
539	60	73	56	
540	53	66	55	
541	53	66	56	
