Pos	Red	Green	Blue	
0	70	53	132	
1	69	49	128	
2	71	50	123	
3	71	50	123	
4	71	49	130	
5	74	51	132	
6	81	55	130	
7	82	53	127	
8	85	52	125	
9	89	53	129	
10	93	54	133	
11	95	58	141	
12	100	61	145	
13	100	61	150	
14	107	62	151	
15	112	64	155	
16	117	65	156	
17	119	66	161	
18	120	68	164	
19	118	68	168	
20	116	67	171	
21	115	68	176	
22	115	68	178	
23	116	70	178	
24	118	73	174	
25	119	73	173	
26	119	69	174	
27	122	70	175	
28	126	72	175	
29	126	72	174	
30	130	74	174	
31	131	75	175	
32	132	75	175	
33	134	78	179	
34	134	79	182	
35	132	76	184	
36	132	74	185	
37	134	75	185	
38	136	76	184	
39	135	76	185	
40	135	76	187	
41	135	75	187	
42	135	76	185	
43	133	74	184	
44	132	73	187	
45	131	72	186	
46	130	73	184	
47	131	76	182	
48	130	76	180	
49	130	74	180	
50	128	73	181	
51	129	72	180	
52	126	72	179	
53	124	73	178	
54	121	71	177	
55	121	70	173	
56	119	70	169	
57	119	71	167	
58	116	71	172	
59	113	70	170	
60	112	69	164	
61	112	68	159	
62	110	66	158	
63	109	64	153	
64	107	65	150	
65	105	63	150	
66	100	61	154	
67	99	60	154	
68	92	59	152	
69	85	57	145	
70	82	56	145	
71	83	56	141	
72	83	54	137	
73	83	54	134	
74	82	55	134	
75	80	54	132	
76	78	53	132	
77	78	54	130	
78	76	51	128	
79	77	50	128	
80	78	52	131	
81	77	52	131	
82	79	53	129	
83	82	55	131	
84	85	57	134	
85	86	57	139	
86	89	57	142	
87	91	58	144	
88	94	58	144	
89	94	59	146	
90	97	61	151	
91	98	62	155	
92	101	65	156	
93	104	67	160	
94	105	65	164	
95	106	67	167	
96	111	68	164	
97	114	67	167	
98	118	68	172	
99	121	70	176	
100	125	71	174	
101	124	70	176	
102	127	71	177	
103	128	74	183	
104	130	75	187	
105	131	74	189	
106	135	76	188	
107	136	78	187	
108	138	76	185	
109	139	77	186	
110	140	79	191	
111	142	81	193	
112	142	80	191	
113	138	77	191	
114	137	77	193	
115	136	78	196	
116	135	78	199	
117	135	78	198	
118	135	79	195	
119	136	79	193	
120	137	79	194	
121	134	76	195	
122	134	77	198	
123	136	80	198	
124	134	79	195	
125	130	76	193	
126	127	75	192	
127	129	77	190	
128	129	77	189	
129	126	73	190	
130	126	74	196	
131	127	77	199	
132	128	75	194	
133	131	75	193	
134	134	75	192	
135	135	75	193	
136	136	75	194	
137	137	76	193	
138	138	78	192	
139	139	78	192	
140	139	77	193	
141	140	78	193	
142	141	77	189	
143	142	78	188	
144	141	78	190	
145	139	77	192	
146	139	77	196	
147	139	77	196	
148	139	79	194	
149	139	80	194	
150	136	79	193	
151	134	77	195	
152	132	78	200	
153	131	79	200	
154	129	78	200	
155	128	77	199	
156	126	77	201	
157	124	77	200	
158	123	78	196	
159	124	79	192	
160	123	77	188	
161	123	76	187	
162	124	75	190	
163	127	77	190	
164	132	77	190	
165	135	75	188	
166	137	73	188	
167	137	74	187	
168	138	77	186	
169	138	78	185	
170	138	79	184	
171	138	79	187	
172	139	77	189	
173	140	77	192	
174	141	78	193	
175	139	78	193	
176	139	79	193	
177	140	79	191	
178	139	77	187	
179	140	78	186	
180	137	77	187	
181	136	76	187	
182	134	77	187	
183	133	77	186	
184	130	76	189	
185	130	76	185	
186	130	77	182	
187	130	77	180	
188	127	75	181	
189	126	74	181	
190	126	75	180	
191	126	74	180	
192	124	74	184	
193	122	74	186	
194	122	74	185	
195	125	74	185	
196	127	77	187	
197	126	76	188	
198	126	75	188	
199	127	76	189	
200	129	75	188	
201	130	76	187	
202	131	76	185	
203	131	77	183	
204	130	77	182	
205	129	76	182	
206	131	76	184	
207	134	74	183	
208	136	74	183	
209	135	74	183	
210	135	74	182	
211	136	75	183	
212	135	76	184	
213	133	77	187	
214	133	76	191	
215	135	76	190	
216	136	75	187	
217	136	77	188	
218	135	79	191	
219	134	76	192	
220	132	73	191	
221	133	74	188	
222	133	77	187	
223	131	76	187	
224	129	75	192	
225	127	75	193	
226	128	76	188	
227	130	76	186	
228	130	76	187	
229	130	75	185	
230	133	77	183	
231	134	77	183	
232	133	76	186	
233	133	75	186	
234	134	75	183	
235	135	77	180	
236	136	77	178	
237	136	77	179	
238	136	77	181	
239	136	76	181	
240	132	75	182	
241	128	74	182	
242	124	73	181	
243	125	75	181	
244	125	77	181	
245	124	75	181	
