Pos	Red	Green	Blue	
0	99	78	212	
1	98	77	210	
2	97	77	210	
3	96	76	210	
4	93	74	213	
5	94	75	211	
6	93	76	209	
7	91	74	203	
8	90	72	197	
9	93	71	190	
10	92	71	189	
11	89	71	190	
12	86	72	195	
13	84	69	193	
14	82	67	187	
15	85	70	183	
16	83	67	181	
17	80	62	175	
18	76	60	172	
19	75	60	161	
20	71	59	156	
21	69	56	146	
22	65	54	143	
23	64	53	134	
24	63	51	127	
25	63	49	121	
26	64	49	124	
27	63	49	123	
28	62	49	121	
29	62	46	117	
30	59	43	113	
31	57	43	109	
32	55	42	103	
33	58	46	103	
34	58	47	108	
35	55	42	105	
36	54	40	101	
37	55	38	97	
38	56	40	95	
39	56	41	96	
40	52	39	97	
41	49	38	96	
42	49	39	95	
43	53	41	93	
44	53	39	90	
45	50	38	87	
46	51	40	89	
47	52	41	88	
48	54	41	90	
49	54	40	91	
50	52	37	93	
51	51	38	96	
52	50	37	96	
53	50	36	92	
54	50	36	87	
55	50	36	86	
56	49	38	90	
57	48	39	93	
58	50	39	92	
59	51	39	96	
60	52	39	101	
61	52	39	102	
62	54	39	98	
63	55	37	88	
64	56	39	83	
65	54	41	84	
66	51	40	90	
67	53	41	95	
68	50	38	91	
69	49	36	91	
70	49	37	91	
71	49	39	88	
72	51	37	81	
73	52	33	76	
74	55	36	80	
75	52	38	86	
76	51	37	89	
77	52	38	91	
78	53	40	93	
79	50	39	92	
80	49	39	90	
81	53	39	88	
82	56	41	88	
83	55	41	88	
84	58	43	88	
85	60	44	90	
86	59	42	91	
87	58	42	90	
88	57	42	87	
89	56	40	87	
90	57	41	90	
91	57	40	90	
92	57	40	89	
93	58	41	93	
94	58	41	97	
95	59	43	97	
96	61	43	92	
97	60	41	91	
98	59	40	98	
99	56	38	97	
100	54	37	91	
101	55	41	91	
102	55	41	91	
103	55	41	96	
104	56	43	101	
105	56	43	101	
106	56	42	95	
107	57	41	87	
108	55	40	84	
109	52	40	82	
110	49	39	84	
111	47	36	85	
112	47	33	82	
113	50	33	83	
114	52	34	86	
115	52	35	85	
116	54	37	85	
117	53	38	87	
118	53	38	89	
119	52	39	87	
120	51	38	80	
121	52	37	81	
122	55	40	91	
123	56	40	95	
124	58	41	95	
125	58	40	93	
126	58	39	92	
127	59	41	93	
128	58	42	93	
129	60	45	99	
130	62	45	105	
131	61	43	107	
132	63	42	103	
133	67	45	107	
134	70	47	112	
135	71	48	120	
136	78	50	123	
137	81	51	133	
138	88	56	143	
139	90	59	149	
140	95	61	148	
141	97	65	158	
142	105	68	167	
143	112	69	178	
144	119	72	180	
145	119	75	190	
146	122	77	194	
147	125	79	201	
148	129	81	203	
149	129	80	208	
150	130	80	209	
151	129	80	214	
152	129	80	219	
153	129	80	217	
154	131	81	209	
155	134	82	207	
156	132	82	212	
157	131	82	217	
158	130	82	219	
159	130	81	216	
160	131	80	211	
161	131	80	209	
162	131	81	212	
163	131	81	214	
164	131	81	214	
165	131	82	214	
166	131	82	214	
167	130	81	215	
168	128	78	215	
169	128	78	214	
170	130	78	212	
171	133	78	207	
172	135	77	203	
173	134	76	204	
174	132	79	209	
175	130	81	212	
176	129	80	208	
177	131	80	207	
178	131	80	209	
179	130	80	215	
180	130	79	219	
181	131	79	220	
182	132	80	218	
183	131	80	216	
184	131	79	216	
185	131	80	215	
186	133	82	215	
187	134	82	217	
188	134	80	217	
189	135	82	220	
190	135	83	221	
191	135	83	219	
192	135	83	215	
193	132	82	216	
194	130	81	222	
195	132	83	224	
196	134	85	223	
197	135	84	219	
198	134	82	216	
199	133	82	214	
200	133	83	213	
201	132	82	212	
202	130	81	215	
203	129	81	214	
204	127	78	209	
205	128	78	207	
206	130	80	208	
207	129	79	208	
208	129	78	209	
209	127	79	209	
210	126	80	205	
211	126	81	203	
212	126	80	205	
213	127	79	205	
214	125	75	204	
215	123	75	202	
216	123	77	201	
217	123	76	197	
218	121	74	195	
219	123	74	191	
220	122	75	190	
221	121	76	192	
222	121	75	194	
223	122	75	196	
224	123	77	197	
225	120	76	198	
226	119	75	201	
227	122	77	200	
228	126	79	196	
229	126	77	192	
230	128	78	192	
231	128	80	197	
232	127	79	201	
233	125	77	206	
234	126	77	211	
235	127	79	212	
236	131	82	211	
237	130	84	215	
238	131	83	219	
239	132	82	222	
240	133	81	222	
241	132	82	221	
242	131	80	220	
243	133	81	218	
244	135	82	215	
245	135	82	213	
246	135	83	214	
247	132	83	214	
248	130	81	213	
249	131	82	216	
250	132	82	219	
251	132	83	221	
252	134	81	221	
253	135	80	220	
254	136	81	221	
255	134	83	222	
256	135	84	222	
257	134	83	221	
258	133	81	219	
259	135	81	215	
260	134	81	213	
261	131	79	212	
262	129	78	213	
263	129	79	211	
264	129	80	207	
265	129	80	204	
266	129	78	205	
267	131	78	205	
268	132	79	204	
269	130	79	203	
270	128	80	200	
271	125	79	202	
272	120	76	206	
273	119	75	205	
274	115	73	200	
275	113	72	193	
276	111	73	190	
277	110	70	182	
278	105	67	177	
279	104	67	167	
280	95	64	162	
281	90	60	147	
282	79	55	137	
283	74	51	118	
284	67	49	114	
285	66	47	103	
286	61	45	102	
287	56	43	103	
288	55	41	101	
289	59	41	100	
290	59	40	100	
291	59	43	100	
292	58	44	100	
293	57	41	99	
294	57	39	97	
295	57	39	98	
296	58	41	100	
297	59	43	102	
298	60	44	101	
299	63	45	104	
300	61	43	105	
301	58	43	104	
302	57	45	102	
303	57	46	100	
304	60	48	102	
305	61	47	103	
306	61	46	105	
307	62	47	109	
308	60	47	111	
309	58	47	114	
310	59	48	115	
311	58	47	116	
312	60	47	117	
313	64	50	121	
314	63	49	121	
315	63	51	127	
316	66	54	131	
317	66	53	137	
318	70	57	146	
319	68	57	150	
320	68	55	149	
321	71	58	151	
322	72	60	154	
323	70	62	157	
324	73	64	158	
325	76	64	162	
326	78	65	164	
327	77	64	164	
328	77	65	163	
329	79	65	161	
330	79	64	157	
331	77	63	162	
332	78	64	170	
333	79	66	176	
334	79	66	174	
335	79	66	173	
336	81	67	170	
337	82	68	171	
338	82	67	174	
339	82	68	178	
340	82	67	181	
341	81	65	183	
342	83	69	183	
343	83	70	183	
344	82	69	180	
345	84	73	181	
346	84	73	180	
347	82	71	181	
348	83	70	183	
349	84	70	185	
350	85	70	184	
351	83	68	185	
352	82	69	188	
353	82	71	190	
354	81	70	190	
355	82	70	189	
356	82	69	188	
357	81	69	187	
358	85	76	188	
359	84	75	188	
360	83	71	189	
361	83	71	190	
362	82	70	188	
363	83	71	187	
364	81	69	184	
365	81	69	183	
366	83	72	184	
367	82	70	184	
368	85	71	184	
369	85	72	186	
370	88	76	188	
371	88	75	190	
372	84	71	190	
373	84	73	194	
374	84	73	196	
375	85	71	194	
376	85	69	191	
377	86	71	192	
378	85	72	194	
379	84	70	193	
380	85	71	190	
381	84	72	190	
382	85	72	194	
383	86	72	197	
384	87	72	198	
385	86	73	198	
386	87	74	194	
387	88	74	192	
388	88	74	192	
389	88	75	195	
390	89	76	199	
391	90	74	201	
392	89	73	199	
393	87	74	202	
394	85	72	206	
395	87	74	206	
396	90	78	203	
397	89	79	203	
398	89	80	208	
399	90	80	207	
400	90	78	203	
401	90	78	202	
402	89	76	204	
403	89	76	203	
404	89	75	201	
405	89	77	205	
406	90	78	209	
407	90	76	211	
408	91	76	208	
409	90	77	209	
410	91	78	211	
411	91	78	213	
412	91	77	214	
413	91	76	215	
414	91	75	214	
415	94	77	214	
416	94	78	213	
417	90	76	211	
418	90	78	210	
419	89	78	207	
420	88	76	205	
421	89	77	206	
422	89	76	208	
423	89	76	208	
424	90	76	206	
425	90	75	203	
426	93	78	204	
427	93	78	205	
428	92	77	205	
429	92	77	208	
430	91	77	209	
431	91	78	210	
432	91	78	208	
433	93	78	208	
434	92	75	209	
435	91	75	211	
436	92	77	217	
437	93	78	215	
438	94	80	211	
439	90	78	208	
440	89	76	206	
441	91	78	203	
442	92	79	199	
443	91	79	201	
444	89	77	206	
445	89	75	207	
446	89	76	203	
447	91	79	205	
448	91	79	209	
449	90	77	209	
450	94	77	207	
451	96	78	209	
452	96	79	216	
453	95	80	217	
454	94	80	212	
455	96	80	208	
456	94	78	209	
457	93	78	213	
458	93	78	215	
459	94	77	217	
460	94	77	218	
461	94	78	216	
462	95	79	213	
463	95	80	212	
464	95	80	213	
465	96	80	214	
466	95	81	215	
467	93	81	216	
468	93	80	218	
469	95	80	219	
470	96	81	216	
471	97	82	218	
472	95	81	221	
473	92	80	222	
474	92	79	220	
475	93	80	221	
476	94	81	224	
477	96	81	222	
478	96	80	216	
479	97	81	213	
480	96	83	216	
481	94	83	220	
482	93	82	220	
483	93	80	221	
