Pos	Red	Green	Blue	
0	29	8	3	
1	32	13	8	
2	34	16	19	
3	30	12	8	
4	34	11	0	
5	36	9	0	
6	34	7	0	
7	33	12	0	
8	35	16	13	
9	34	14	7	
10	33	12	0	
11	34	15	0	
12	28	9	0	
13	26	4	0	
14	28	7	0	
15	32	13	0	
16	35	17	0	
17	30	10	0	
18	33	12	0	
19	37	13	0	
20	29	3	0	
21	28	6	0	
22	30	10	0	
23	33	11	0	
24	38	14	0	
25	41	15	0	
26	41	15	0	
27	36	12	0	
28	30	9	0	
29	28	8	0	
30	27	8	0	
31	32	11	0	
32	35	11	2	
33	33	6	0	
34	38	13	0	
35	36	13	0	
36	32	9	0	
37	34	11	0	
38	37	10	0	
39	41	10	0	
40	42	11	0	
41	40	12	0	
42	34	9	0	
43	29	8	0	
44	31	12	0	
45	33	14	0	
46	36	14	0	
47	35	11	0	
48	36	9	0	
49	44	16	0	
50	51	23	0	
51	54	27	2	
52	51	23	0	
53	46	16	0	
54	41	17	0	
55	35	12	0	
56	30	6	0	
57	35	8	0	
58	39	10	0	
59	36	7	0	
60	37	9	0	
61	39	12	0	
62	34	7	0	
63	34	8	0	
64	33	9	0	
65	32	9	0	
66	34	12	0	
67	35	15	0	
68	37	16	0	
69	35	11	0	
70	35	9	0	
71	37	13	0	
72	38	15	0	
73	34	14	0	
74	41	26	0	
75	40	23	0	
76	32	10	0	
77	32	10	5	
78	37	10	3	
79	39	5	0	
80	39	3	0	
81	37	5	0	
82	30	7	0	
83	31	13	0	
84	29	12	0	
85	24	5	0	
86	28	7	0	
87	34	11	0	
88	32	8	0	
89	29	8	0	
90	36	13	0	
91	37	9	0	
92	41	10	0	
93	41	12	0	
94	40	13	0	
95	43	15	0	
96	42	13	0	
97	40	12	0	
98	42	18	0	
99	39	13	0	
100	36	11	0	
101	36	12	0	
102	32	8	0	
103	31	6	0	
104	35	8	0	
105	39	10	0	
106	39	9	0	
107	42	15	0	
108	48	19	0	
109	51	18	0	
110	54	19	0	
111	51	17	0	
112	52	22	0	
113	50	20	0	
114	43	9	0	
115	43	9	0	
116	43	10	0	
117	43	11	0	
118	42	12	0	
119	41	13	0	
120	40	14	0	
121	36	9	0	
122	32	7	0	
123	40	19	0	
124	45	23	0	
125	46	22	0	
126	47	18	0	
127	44	13	0	
128	40	11	0	
129	37	10	0	
130	33	10	0	
131	27	5	0	
132	24	3	0	
133	26	4	0	
134	31	11	0	
135	31	10	0	
136	26	5	0	
137	29	9	0	
138	34	12	0	
139	35	10	0	
140	36	8	0	
141	39	15	0	
142	39	16	0	
143	40	15	0	
144	40	13	0	
145	44	18	0	
146	44	19	2	
147	42	15	0	
148	49	21	0	
149	54	19	0	
150	53	15	0	
151	54	18	0	
152	55	25	8	
153	55	26	5	
154	55	23	0	
155	55	22	0	
156	55	24	0	
157	51	22	0	
158	49	19	0	
159	51	19	0	
160	52	16	0	
161	55	20	0	
162	61	23	2	
163	62	21	0	
164	71	29	3	
165	71	28	0	
166	72	31	0	
167	69	31	3	
168	62	25	2	
169	66	31	14	
170	63	27	7	
171	62	24	2	
172	58	27	8	
173	49	24	0	
174	40	19	0	
175	42	21	0	
176	38	16	0	
177	31	7	0	
178	29	4	0	
179	36	12	0	
180	34	12	0	
181	29	10	0	
182	31	15	0	
183	27	11	0	
184	28	9	0	
185	31	12	0	
186	34	15	0	
187	34	14	0	
188	29	11	0	
189	30	15	0	
190	27	12	0	
191	20	0	0	
192	28	1	0	
193	36	5	0	
194	34	3	0	
195	31	4	0	
196	25	2	0	
197	23	2	0	
198	27	7	0	
199	26	4	0	
200	25	1	0	
201	28	6	0	
202	29	4	0	
203	31	5	0	
204	38	13	0	
205	40	16	0	
206	41	14	0	
207	42	12	0	
208	51	18	0	
209	57	20	0	
210	60	21	0	
211	62	25	0	
212	59	26	0	
213	52	21	0	
214	49	18	0	
215	45	15	0	
216	42	13	0	
217	44	20	5	
218	44	21	9	
219	40	14	4	
220	39	11	0	
221	43	17	1	
222	47	20	0	
223	53	23	0	
224	57	24	0	
225	58	24	0	
226	58	23	0	
227	51	17	0	
228	44	15	0	
229	43	16	0	
230	33	10	0	
231	27	4	0	
232	27	5	0	
233	29	4	0	
234	31	6	0	
235	26	6	0	
236	25	8	0	
237	30	14	0	
238	29	9	0	
239	33	7	0	
240	35	8	0	
241	31	5	0	
242	39	10	0	
243	47	13	0	
244	47	12	0	
245	43	14	0	
246	40	15	0	
247	40	13	0	
248	39	10	0	
249	38	8	0	
250	35	9	0	
251	30	6	0	
252	31	10	0	
253	29	11	0	
254	33	15	0	
255	37	13	0	
256	33	5	0	
257	37	11	0	
258	38	15	0	
259	36	17	0	
260	37	17	0	
261	34	12	0	
262	37	12	0	
263	39	13	0	
264	40	14	0	
265	40	15	1	
266	40	15	0	
267	45	19	0	
268	50	21	0	
269	54	21	4	
270	61	23	1	
271	66	28	0	
272	68	29	0	
273	64	23	0	
274	65	26	0	
275	66	32	2	
276	82	36	11	
277	102	45	24	
278	124	55	30	
279	129	57	27	
280	136	60	23	
281	135	63	26	
282	137	62	29	
283	142	65	34	
284	144	61	29	
285	141	61	26	
286	137	59	23	
287	134	59	24	
288	137	62	27	
289	143	63	29	
290	162	69	32	
291	174	80	41	
292	199	89	50	
293	212	96	57	
294	226	101	58	
295	230	104	62	
296	234	106	63	
297	235	104	64	
298	236	105	67	
299	236	104	67	
300	234	103	63	
301	233	104	58	
302	232	103	53	
303	230	103	54	
304	232	104	61	
305	233	103	65	
306	238	106	66	
307	240	107	67	
308	241	108	68	
309	242	109	69	
310	241	108	68	
311	242	109	69	
312	240	109	69	
313	239	105	65	
314	238	103	61	
315	239	105	62	
316	235	105	64	
317	234	105	61	
318	233	105	58	
319	234	103	58	
320	234	102	64	
321	232	101	69	
322	234	102	69	
323	235	106	71	
324	239	106	71	
325	243	104	68	
326	246	104	67	
327	246	108	67	
328	245	110	65	
329	244	108	64	
330	242	105	62	
331	243	105	65	
332	243	109	69	
333	243	110	70	
334	244	110	68	
335	246	109	66	
336	248	109	66	
337	248	109	67	
338	248	109	69	
339	247	109	68	
340	247	108	64	
341	245	109	62	
342	246	113	64	
343	247	115	68	
344	249	114	66	
345	249	111	65	
346	249	113	69	
347	249	113	70	
348	247	110	69	
349	246	107	69	
350	246	107	67	
351	247	108	69	
352	247	107	73	
353	247	107	73	
354	245	107	70	
355	244	107	67	
356	242	109	69	
357	242	110	70	
358	242	108	69	
359	243	110	69	
360	244	111	67	
361	244	113	71	
362	245	113	76	
363	247	112	78	
364	250	111	72	
365	250	110	72	
366	249	109	77	
367	249	111	79	
368	249	112	74	
369	249	113	72	
370	248	112	73	
371	249	111	73	
372	249	111	72	
373	247	110	70	
374	246	112	73	
375	247	113	75	
376	247	113	76	
377	248	113	74	
378	250	112	69	
379	250	110	68	
380	250	111	73	
381	249	113	75	
382	250	113	75	
383	250	116	79	
384	252	116	81	
385	252	115	80	
386	253	114	77	
387	252	113	76	
388	251	115	79	
389	250	114	77	
390	250	111	74	
391	250	112	72	
392	250	113	73	
393	248	113	76	
394	248	114	78	
395	249	115	80	
396	249	114	80	
397	248	114	80	
398	249	115	80	
399	250	112	77	
400	250	109	73	
401	250	112	73	
402	250	115	74	
403	249	116	74	
404	251	118	74	
405	251	117	76	
406	251	115	81	
407	250	115	84	
408	252	116	85	
409	254	116	80	
410	255	118	74	
411	255	118	72	
412	255	115	72	
413	253	116	77	
414	251	116	79	
415	251	116	78	
416	252	115	77	
417	252	115	74	
418	253	116	72	
419	253	115	72	
420	254	115	73	
421	255	117	77	
422	255	118	79	
423	255	119	80	
424	255	118	80	
425	255	117	81	
426	254	117	82	
427	251	115	85	
428	246	114	93	
429	246	113	94	
430	246	113	86	
431	245	113	80	
432	247	112	76	
433	251	116	79	
434	253	116	81	
435	252	116	81	
436	253	116	79	
437	254	116	77	
438	253	115	73	
439	252	115	73	
440	253	118	78	
441	254	119	80	
442	255	120	78	
443	255	120	80	
444	255	121	82	
445	255	119	82	
446	253	116	80	
447	250	115	79	
448	245	114	79	
449	242	112	80	
450	240	110	83	
451	241	111	84	
452	247	114	80	
453	251	116	77	
454	255	118	76	
455	254	119	78	
456	253	118	81	
457	253	117	84	
458	253	114	80	
459	253	115	81	
460	254	116	81	
461	255	119	82	
462	255	120	82	
463	255	117	79	
464	255	116	80	
465	255	118	81	
466	255	122	82	
467	255	120	80	
468	255	120	80	
469	255	121	83	
470	253	120	85	
471	252	118	85	
472	251	116	82	
473	251	117	80	
474	251	117	78	
475	251	116	77	
476	252	119	81	
477	253	119	81	
478	252	118	83	
479	251	119	81	
480	251	122	80	
481	251	122	83	
482	249	119	87	
483	248	116	88	
484	247	117	85	
485	247	117	83	
486	242	117	82	
487	239	110	77	
488	223	108	81	
489	214	101	71	
490	193	94	61	
491	181	84	52	
492	156	72	50	
493	142	64	45	
494	119	53	39	
495	105	50	38	
496	86	43	38	
497	80	42	30	
498	74	39	18	
499	70	34	9	
500	70	37	23	
501	70	38	33	
502	69	36	34	
503	68	35	41	
504	69	38	54	
505	69	42	59	
506	67	38	51	
507	70	42	52	
508	75	46	54	
509	73	44	63	
510	76	45	76	
511	76	46	83	
512	83	51	80	
513	89	55	85	
514	95	60	92	
515	97	62	94	
516	99	62	89	
517	99	62	86	
518	100	62	89	
519	99	63	95	
520	101	64	99	
521	101	63	102	
522	102	63	101	
523	102	64	99	
524	96	62	96	
525	92	61	89	
526	87	57	81	
527	85	55	79	
528	87	55	86	
529	91	60	93	
530	98	63	92	
531	104	62	93	
532	104	63	95	
533	100	62	95	
534	94	62	95	
535	91	59	94	
536	84	53	97	
537	77	47	95	
538	78	49	99	
539	80	49	98	
540	79	47	95	
541	78	48	93	
542	74	43	88	
543	79	50	87	
544	88	55	89	
545	90	59	93	
546	104	65	98	
547	115	73	104	
548	125	75	101	
549	129	79	102	
550	131	81	104	
551	128	75	100	
552	118	69	97	
553	109	62	99	
554	98	61	110	
555	95	60	112	
556	95	63	106	
557	97	62	101	
558	93	60	98	
559	88	60	101	
560	87	57	106	
561	87	55	108	
562	92	55	106	
563	96	60	110	
564	101	61	113	
565	103	64	112	
566	103	64	106	
567	102	60	99	
568	101	61	96	
569	100	62	99	
570	104	67	104	
571	111	71	108	
572	122	78	107	
573	130	82	109	
574	133	84	117	
575	128	81	121	
576	121	75	120	
577	116	72	120	
578	108	66	117	
579	103	64	114	
580	99	65	116	
581	98	65	115	
582	94	62	112	
583	92	61	112	
584	94	61	116	
585	97	62	118	
586	105	66	119	
587	111	71	121	
588	117	74	120	
589	121	79	124	
590	121	81	127	
591	114	77	127	
592	107	71	127	
593	103	69	124	
594	101	70	124	
595	101	68	124	
596	94	61	122	
597	91	60	124	
598	90	62	126	
599	89	59	126	
600	87	58	125	
601	88	62	124	
602	91	63	120	
603	96	70	123	
604	107	75	123	
605	112	77	125	
606	122	80	128	
607	125	84	124	
608	126	84	118	
609	125	84	109	
610	125	79	101	
611	127	77	98	
612	131	80	102	
613	133	79	104	
614	136	82	106	
615	137	82	107	
616	134	82	105	
617	133	80	101	
618	127	77	99	
619	124	75	100	
620	124	72	104	
621	125	75	108	
622	128	75	110	
623	127	77	109	
624	126	77	103	
625	125	76	102	
626	129	80	105	
627	134	80	107	
628	141	81	108	
629	146	83	107	
630	155	89	105	
631	160	93	104	
632	160	93	105	
633	160	94	106	
634	155	93	107	
635	149	88	105	
636	137	82	105	
637	125	75	107	
638	111	68	110	
639	103	66	114	
640	98	65	117	
641	96	64	118	
642	95	64	119	
643	95	63	118	
644	96	64	120	
645	96	65	124	
646	100	68	127	
647	106	71	123	
648	110	72	116	
649	113	77	118	
650	112	77	125	
651	110	74	129	
652	105	71	128	
653	104	71	127	
654	102	71	124	
655	98	67	123	
656	98	68	129	
657	97	68	128	
658	96	67	121	
659	97	66	120	
660	95	63	125	
661	97	66	127	
662	100	65	122	
663	103	69	122	
664	107	71	123	
665	108	73	125	
666	108	72	127	
667	107	70	124	
668	102	68	122	
669	97	65	125	
670	91	62	130	
671	90	59	129	
672	92	62	125	
673	95	64	112	
674	96	63	105	
675	95	61	97	
676	92	56	96	
677	89	52	91	
678	86	50	90	
679	85	53	86	
680	81	49	79	
681	82	47	79	
682	83	49	86	
683	81	46	83	
684	82	46	73	
685	84	48	67	
686	83	47	65	
687	81	45	65	
688	82	45	67	
689	85	48	69	
690	89	50	67	
691	93	53	69	
692	97	55	72	
693	97	54	71	
694	98	55	69	
695	96	54	70	
696	98	56	75	
697	102	56	75	
698	111	59	68	
699	116	62	66	
700	127	67	66	
701	135	69	69	
702	147	74	70	
703	157	81	76	
704	174	89	77	
705	183	96	81	
706	196	103	87	
707	198	106	88	
708	210	106	85	
709	219	113	93	
710	230	113	93	
711	231	117	96	
712	238	120	96	
713	239	122	96	
714	241	125	101	
715	241	123	102	
716	240	118	101	
717	242	117	99	
718	236	115	94	
719	230	114	90	
720	211	109	90	
721	197	99	82	
722	165	88	76	
723	143	72	63	
724	110	61	62	
725	102	54	63	
726	90	49	67	
727	90	45	61	
728	87	41	49	
729	87	42	45	
730	91	42	50	
731	98	45	58	
732	118	49	62	
733	135	54	66	
734	159	58	66	
735	170	58	66	
736	179	60	65	
737	177	60	65	
738	177	62	66	
739	177	62	65	
740	176	62	65	
741	174	64	68	
742	173	61	68	
743	176	60	68	
744	179	62	68	
745	180	63	67	
746	183	63	65	
747	187	63	64	
748	191	62	64	
749	194	62	59	
750	196	64	53	
751	195	64	50	
752	193	62	51	
753	192	61	57	
754	190	60	65	
755	191	61	68	
756	194	63	64	
757	191	61	59	
758	187	58	60	
759	185	61	63	
760	184	60	62	
761	184	58	61	
762	185	62	67	
763	184	61	64	
764	186	60	61	
765	190	63	59	
766	190	63	56	
767	191	62	52	
768	190	60	48	
769	192	59	48	
770	192	60	51	
771	192	58	47	
772	192	57	41	
773	191	60	40	
774	187	58	41	
775	184	56	45	
776	179	59	50	
777	174	60	47	
778	174	60	39	
779	176	57	33	
780	178	59	38	
781	178	62	46	
782	181	59	46	
783	185	58	49	
784	187	61	49	
785	185	60	50	
786	183	58	54	
787	184	59	56	
788	187	58	51	
789	190	58	49	
790	188	61	53	
791	182	61	52	
792	178	58	48	
793	178	57	45	
794	173	56	45	
795	169	55	44	
796	150	52	43	
797	134	48	40	
798	108	42	36	
799	96	36	28	
800	82	34	27	
801	76	31	18	
802	69	30	11	
803	68	32	13	
804	63	30	20	
805	61	31	22	
806	63	36	23	
807	62	35	20	
808	61	35	21	
809	60	37	22	
810	58	38	15	
811	61	47	26	
812	59	47	38	
813	57	44	46	
814	58	47	51	
815	58	47	50	
816	60	48	47	
817	60	50	46	
818	59	54	46	
819	59	58	48	
820	59	56	44	
